,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
instant,1.0,0.40430418444861493,0.8660140489946186,0.48921103050132375,-0.00476776665399785,0.014723494213066332,0.0013441243391056202,-0.003415559211922634,-0.007461779030988242,0.12794725639312873,0.1264474617241689,0.007487517341983077,-0.07323607186222338,0.15943964268764615,0.2560932656374988,0.24374201076126137
season,0.40430418444861493,1.0,-0.010712601052444919,0.8308470990121495,-0.006091892964854125,-0.009486829624108205,-0.002319837671705764,0.013671318935943437,-0.01333532421484494,0.30575252929468166,0.3058164026054952,0.14751504009458488,-0.13688978514808475,0.18370087093942486,0.18239927235012166,0.18517939481121962
yr,0.8660140489946186,-0.010712601052444919,1.0,-0.010428965849809981,-0.003861129615395727,0.006691616608159505,-0.004492733199023498,-0.002196005414265339,-0.013167850945183239,0.03644121534788984,0.035346203680096284,-0.08311899129993015,-0.01065264398646337,0.11474185911643982,0.22102664002859668,0.20749959408694038
mnth,0.48921103050132375,0.8308470990121495,-0.010428965849809981,1.0,-0.005736632055850484,0.018695356436160777,0.010292862111044368,-0.0036527919073188904,0.008614080921567173,0.1913689470134071,0.19080448691509497,0.15968373739560676,-0.12994504498887505,0.11808401873406074,0.1270661017358192,0.1258888225125221
hr,-0.00476776665399785,-0.006091892964854125,-0.003861129615395727,-0.005736632055850484,1.0,0.00047689849486015786,-0.003496905688875292,0.0022809063829874973,-0.030348759249575884,0.13399808893618373,0.13298568929279636,-0.27852988944251295,0.14036657400513,0.47666616659157895,0.5105687718325581,0.5108780576208044
holiday,0.014723494213066332,-0.009486829624108205,0.006691616608159505,0.018695356436160777,0.00047689849486015786,1.0,-0.10185698040201019,-0.2524713695818376,-0.012917155562411508,-0.028124615235726798,-0.0314676990839568,-0.012287637558123378,0.004140643089834569,0.015943256413942983,-0.043525966321085886,-0.029526128735248566
weekday,0.0013441243391056202,-0.002319837671705764,-0.004492733199023498,0.010292862111044368,-0.003496905688875292,-0.10185698040201019,1.0,0.035043855506927936,0.0032772219763889314,-0.005723665559067018,-0.012979292644897089,-0.036598444116209605,0.009935627808001439,0.01267196337879803,0.034711075611013754,0.030296647558778998
workingday,-0.003415559211922634,0.013671318935943437,-0.002196005414265339,-0.0036527919073188904,0.0022809063829874973,-0.2524713695818376,0.035043855506927936,1.0,0.043874810337380866,0.05496500953706522,0.05410265345392197,0.01732530830147191,-0.010722817563863984,-0.17667092868185966,0.0831052647602497,0.0210334811855194
weathersit,-0.007461779030988242,-0.01333532421484494,-0.013167850945183239,0.008614080921567173,-0.030348759249575884,-0.012917155562411508,0.0032772219763889314,0.043874810337380866,1.0,-0.10451049831994759,-0.11114466300907858,0.40936361851874864,0.008302886073037806,-0.1602798064588072,-0.11206245667424404,-0.12627556163366305
temp,0.12794725639312873,0.30575252929468166,0.03644121534788984,0.1913689470134071,0.13399808893618373,-0.028124615235726798,-0.005723665559067018,0.05496500953706522,-0.10451049831994759,1.0,0.9896328674976392,-0.05540835276053556,-0.009719194088856195,0.5709886387968858,0.3731960995259354,0.4233295244770643
atemp,0.1264474617241689,0.3058164026054952,0.035346203680096284,0.19080448691509497,0.13298568929279636,-0.0314676990839568,-0.012979292644897089,0.05410265345392197,-0.11114466300907858,0.9896328674976392,1.0,-0.05261711805525447,-0.04109141818172337,0.5704186411934695,0.37301398491713084,0.4232578060379264
hum,0.007487517341983077,0.14751504009458488,-0.08311899129993015,0.15968373739560676,-0.27852988944251295,-0.012287637558123378,-0.036598444116209605,0.01732530830147191,0.40936361851874864,-0.05540835276053556,-0.05261711805525447,1.0,-0.2939129940209771,-0.38821325441494164,-0.33848025264727677,-0.3596141883990311
windspeed,-0.07323607186222338,-0.13688978514808475,-0.01065264398646337,-0.12994504498887505,0.14036657400513,0.004140643089834569,0.009935627808001439,-0.010722817563863984,0.008302886073037806,-0.009719194088856195,-0.04109141818172337,-0.2939129940209771,1.0,0.12291976004597129,0.12293636110847529,0.12662883138376593
casual,0.15943964268764615,0.18370087093942486,0.11474185911643982,0.11808401873406074,0.47666616659157895,0.015943256413942983,0.01267196337879803,-0.17667092868185966,-0.1602798064588072,0.5709886387968858,0.5704186411934695,-0.38821325441494164,0.12291976004597129,1.0,0.7810605993284228,0.8505250307696424
registered,0.2560932656374988,0.18239927235012166,0.22102664002859668,0.1270661017358192,0.5105687718325581,-0.043525966321085886,0.034711075611013754,0.0831052647602497,-0.11206245667424404,0.3731960995259354,0.37301398491713084,-0.33848025264727677,0.12293636110847529,0.7810605993284228,1.0,0.9894438488102735
cnt,0.24374201076126137,0.18517939481121962,0.20749959408694038,0.1258888225125221,0.5108780576208044,-0.029526128735248566,0.030296647558778998,0.0210334811855194,-0.12627556163366305,0.4233295244770643,0.4232578060379264,-0.3596141883990311,0.12662883138376593,0.8505250307696424,0.9894438488102735,1.0
