instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,is_weekend,hr_sin,hr_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos,morning_rush,evening_rush,midday_rest,workingday_morning_rush,workingday_evening_rush,non_workingday_midday,time_period,temp_hum_interaction,comfort,is_bad_weather,casual_lag1,casual_lag24,casual_roll3,casual_roll24,registered_lag1,registered_lag24,registered_roll3,registered_roll24,cnt_lag1,cnt_lag24,cnt_roll3,cnt_roll24
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.81,0.0,3,13,16,1,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Night,0.19440000000000002,0.04559999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.8,0.0,8,32,40,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Night,0.17600000000000002,0.04399999999999999,0,3.0,0.0,3.0,3.0,13.0,0.0,13.0,13.0,16.0,0.0,16.0,16.0
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.8,0.0,5,27,32,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Night,0.17600000000000002,0.04399999999999999,0,8.0,0.0,5.5,5.5,32.0,0.0,22.5,22.5,40.0,0.0,28.0,28.0
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.75,0.0,3,10,13,1,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Night,0.18,0.06,0,5.0,0.0,5.333333333333333,5.333333333333333,27.0,0.0,24.0,24.0,32.0,0.0,29.333333333333332,29.333333333333332
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.75,0.0,0,1,1,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Night,0.18,0.06,0,3.0,0.0,5.333333333333333,4.75,10.0,0.0,23.0,20.5,13.0,0.0,28.333333333333332,25.25
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.75,0.0896,0,1,1,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Night,0.18,0.06,0,0.0,0.0,2.6666666666666665,3.8,1.0,0.0,12.666666666666666,16.6,1.0,0.0,15.333333333333334,20.4
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.8,0.0,2,0,2,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Morning,0.17600000000000002,0.04399999999999999,0,0.0,0.0,1.0,3.1666666666666665,1.0,0.0,4.0,14.0,1.0,0.0,5.0,17.166666666666668
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.86,0.0,1,2,3,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,Morning,0.17200000000000001,0.028000000000000004,0,2.0,0.0,0.6666666666666666,3.0,0.0,0.0,0.6666666666666666,12.0,2.0,0.0,1.3333333333333333,15.0
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.75,0.0,1,7,8,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,Morning,0.18,0.06,0,1.0,0.0,1.0,2.75,2.0,0.0,1.0,10.75,3.0,0.0,2.0,13.5
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.76,0.0,8,6,14,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,Morning,0.2432,0.0768,0,1.0,0.0,1.3333333333333333,2.5555555555555554,7.0,0.0,3.0,10.333333333333334,8.0,0.0,4.333333333333333,12.88888888888889
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.76,0.2537,12,24,36,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Morning,0.2888,0.0912,0,8.0,0.0,3.3333333333333335,3.1,6.0,0.0,5.0,9.9,14.0,0.0,8.333333333333334,13.0
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.81,0.2836,26,30,56,1,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,Morning,0.2916,0.06839999999999997,0,12.0,0.0,7.0,3.909090909090909,24.0,0.0,12.333333333333334,11.181818181818182,36.0,0.0,19.333333333333332,15.090909090909092
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.77,0.2836,29,55,84,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,1,Afternoon,0.3234,0.09659999999999999,0,26.0,0.0,15.333333333333334,5.75,30.0,0.0,20.0,12.75,56.0,0.0,35.333333333333336,18.5
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.72,0.2985,47,47,94,1,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,1,Afternoon,0.3312,0.12880000000000003,0,29.0,0.0,22.333333333333332,7.538461538461538,55.0,0.0,36.333333333333336,16.0,84.0,0.0,58.666666666666664,23.53846153846154
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.72,0.2836,35,71,106,1,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,1,Afternoon,0.3312,0.12880000000000003,0,47.0,0.0,34.0,10.357142857142858,47.0,0.0,44.0,18.214285714285715,94.0,0.0,78.0,28.571428571428573
