casual_lag1,casual_lag24,casual_roll24,casual_roll3,cnt_lag1,cnt_lag24,cnt_roll24,cnt_roll3,comfort,evening_rush,holiday,hr,hr_cos,hr_sin,hum,is_weekend,midday_rest,mnth,mnth_cos,registered_lag1,registered_lag24,registered_roll24,registered_roll3,season,temp,temp_hum_interaction,time_period,weathersit,weekday,weekday_sin,workingday,workingday_evening_rush,workingday_morning_rush,yr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455999999999999,0,0,0,1.0,0.0,0.81,1,0,1,0.8660254037844387,0.0,0.0,0.0,0.0,1,0.24,0.1944,Night,1,6,-0.7818314824680299,0,0,0,0
3.0,0.0,3.0,3.0,16.0,0.0,16.0,16.0,0.0439999999999999,0,0,1,0.9659258262890684,0.2588190451025207,0.8,1,0,1,0.8660254037844387,13.0,0.0,13.0,13.0,1,0.22,0.176,Night,1,6,-0.7818314824680299,0,0,0,0
8.0,0.0,5.5,5.5,40.0,0.0,28.0,28.0,0.0439999999999999,0,0,2,0.8660254037844387,0.4999999999999999,0.8,1,0,1,0.8660254037844387,32.0,0.0,22.5,22.5,1,0.22,0.176,Night,1,6,-0.7818314824680299,0,0,0,0
5.0,0.0,5.333333333333333,5.333333333333333,32.0,0.0,29.33333333333333,29.33333333333333,0.06,0,0,3,0.7071067811865476,0.7071067811865475,0.75,1,0,1,0.8660254037844387,27.0,0.0,24.0,24.0,1,0.24,0.18,Night,1,6,-0.7818314824680299,0,0,0,0
3.0,0.0,4.75,5.333333333333333,13.0,0.0,25.25,28.33333333333333,0.06,0,0,4,0.5000000000000001,0.8660254037844386,0.75,1,0,1,0.8660254037844387,10.0,0.0,20.5,23.0,1,0.24,0.18,Night,1,6,-0.7818314824680299,0,0,0,0
0.0,0.0,3.8,2.6666666666666665,1.0,0.0,20.4,15.333333333333334,0.06,0,0,5,0.2588190451025207,0.9659258262890684,0.75,1,0,1,0.8660254037844387,1.0,0.0,16.6,12.666666666666666,1,0.24,0.18,Night,2,6,-0.7818314824680299,0,0,0,0
0.0,0.0,3.1666666666666665,1.0,1.0,0.0,17.166666666666668,5.0,0.0439999999999999,0,0,6,6.123233995736766e-17,1.0,0.8,1,0,1,0.8660254037844387,1.0,0.0,14.0,4.0,1,0.22,0.176,Morning,1,6,-0.7818314824680299,0,0,0,0
2.0,0.0,3.0,0.6666666666666666,2.0,0.0,15.0,1.3333333333333333,0.028,0,0,7,-0.2588190451025206,0.9659258262890684,0.86,1,0,1,0.8660254037844387,0.0,0.0,12.0,0.6666666666666666,1,0.2,0.172,Morning,1,6,-0.7818314824680299,0,0,0,0
1.0,0.0,2.75,1.0,3.0,0.0,13.5,2.0,0.06,0,0,8,-0.4999999999999998,0.8660254037844387,0.75,1,0,1,0.8660254037844387,2.0,0.0,10.75,1.0,1,0.24,0.18,Morning,1,6,-0.7818314824680299,0,0,0,0
1.0,0.0,2.555555555555556,1.3333333333333333,8.0,0.0,12.88888888888889,4.333333333333333,0.0768,0,0,9,-0.7071067811865475,0.7071067811865476,0.76,1,0,1,0.8660254037844387,7.0,0.0,10.333333333333334,3.0,1,0.32,0.2432,Morning,1,6,-0.7818314824680299,0,0,0,0
