season,yr,mnth,hr,holiday,weekday,workingday,weathersit,time_period,temp,hum,hr_sin,hr_cos,evening_rush,midday_rest,workingday_morning_rush,workingday_evening_rush,temp_hum_interaction,comfort,casual_lag1,casual_lag24,casual_roll3,casual_roll24,registered_lag1,registered_lag24,registered_roll3,registered_roll24,cnt_lag1,cnt_lag24,cnt_roll3,cnt_roll24
1,0,1,0,0,6,0,1,Night,0.24,0.81,0.0,1.0,0,0,0,0,0.1944,0.0455999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,0,6,0,1,Night,0.22,0.8,0.2588190451025207,0.9659258262890684,0,0,0,0,0.176,0.0439999999999999,3.0,0.0,3.0,3.0,13.0,0.0,13.0,13.0,16.0,0.0,16.0,16.0
1,0,1,2,0,6,0,1,Night,0.22,0.8,0.4999999999999999,0.8660254037844387,0,0,0,0,0.176,0.0439999999999999,8.0,0.0,5.5,5.5,32.0,0.0,22.5,22.5,40.0,0.0,28.0,28.0
1,0,1,3,0,6,0,1,Night,0.24,0.75,0.7071067811865475,0.7071067811865476,0,0,0,0,0.18,0.06,5.0,0.0,5.333333333333333,5.333333333333333,27.0,0.0,24.0,24.0,32.0,0.0,29.33333333333333,29.33333333333333
1,0,1,4,0,6,0,1,Night,0.24,0.75,0.8660254037844386,0.5000000000000001,0,0,0,0,0.18,0.06,3.0,0.0,5.333333333333333,4.75,10.0,0.0,23.0,20.5,13.0,0.0,28.33333333333333,25.25
1,0,1,5,0,6,0,2,Night,0.24,0.75,0.9659258262890684,0.2588190451025207,0,0,0,0,0.18,0.06,0.0,0.0,2.6666666666666665,3.8,1.0,0.0,12.666666666666666,16.6,1.0,0.0,15.333333333333334,20.4
1,0,1,6,0,6,0,1,Morning,0.22,0.8,1.0,6.123233995736766e-17,0,0,0,0,0.176,0.0439999999999999,0.0,0.0,1.0,3.1666666666666665,1.0,0.0,4.0,14.0,1.0,0.0,5.0,17.166666666666668
1,0,1,7,0,6,0,1,Morning,0.2,0.86,0.9659258262890684,-0.2588190451025206,0,0,0,0,0.172,0.028,2.0,0.0,0.6666666666666666,3.0,0.0,0.0,0.6666666666666666,12.0,2.0,0.0,1.3333333333333333,15.0
1,0,1,8,0,6,0,1,Morning,0.24,0.75,0.8660254037844387,-0.4999999999999998,0,0,0,0,0.18,0.06,1.0,0.0,1.0,2.75,2.0,0.0,1.0,10.75,3.0,0.0,2.0,13.5
1,0,1,9,0,6,0,1,Morning,0.32,0.76,0.7071067811865476,-0.7071067811865475,0,0,0,0,0.2432,0.0768,1.0,0.0,1.3333333333333333,2.555555555555556,7.0,0.0,3.0,10.333333333333334,8.0,0.0,4.333333333333333,12.88888888888889
