feature,mi,selected
casual_lag1,0.9463,True
casual_roll3,0.6435,True
cnt_lag1,0.6281,True
casual_lag24,0.5725,True
registered_lag1,0.5221,True
cnt_roll3,0.471,True
cnt_lag24,0.4512,True
registered_roll3,0.405,True
registered_lag24,0.3853,True
comfort,0.3103,True
casual_roll24,0.2516,True
temp,0.25,True
hr_cos,0.193,True
hr_sin,0.1881,True
cnt_roll24,0.1706,True
temp_hum_interaction,0.1464,True
registered_roll24,0.1332,True
hum,0.1304,True
mnth_cos,0.1013,True
weekday_sin,0.0659,True
is_weekend,0.0591,True
non_workingday_midday,0.0481,False
weekday_cos,0.0471,False
midday_rest,0.0448,False
evening_rush,0.0414,False
workingday_morning_rush,0.0326,False
morning_rush,0.0321,False
workingday_evening_rush,0.0317,False
mnth_sin,0.0255,False
is_bad_weather,0.0137,False
windspeed,0.0119,False
