feature,mi,selected
cnt_lag1,0.8663,True
registered_lag1,0.855,True
registered_lag24,0.7354,True
cnt_lag24,0.6799,True
cnt_roll3,0.5525,True
registered_roll3,0.5411,True
casual_lag1,0.411,True
hr_sin,0.3728,True
hr_cos,0.3689,True
casual_lag24,0.3438,True
casual_roll3,0.3158,True
comfort,0.1789,True
registered_roll24,0.1446,True
cnt_roll24,0.134,True
workingday_evening_rush,0.1117,True
temp,0.1084,True
evening_rush,0.0992,True
hum,0.0915,True
temp_hum_interaction,0.0819,True
casual_roll24,0.0816,True
workingday_morning_rush,0.0603,True
midday_rest,0.05,True
mnth_cos,0.0413,False
weekday_sin,0.0398,False
morning_rush,0.0317,False
is_weekend,0.0307,False
non_workingday_midday,0.0239,False
mnth_sin,0.0221,False
weekday_cos,0.0182,False
is_bad_weather,0.0088,False
windspeed,0.0084,False
