mnth,hr,weekday,workingday,atemp,hum,is_weekend_leisure
1,0,6,0,0.2879,0.81,0
1,1,6,0,0.2727,0.8,0
1,2,6,0,0.2727,0.8,0
1,3,6,0,0.2879,0.75,0
1,4,6,0,0.2879,0.75,0
1,5,6,0,0.2576,0.75,0
1,6,6,0,0.2727,0.8,0
1,7,6,0,0.2576,0.86,0
1,8,6,0,0.2879,0.75,0
1,9,6,0,0.3485,0.76,0
1,10,6,0,0.3939,0.76,1
1,11,6,0,0.3333,0.81,1
1,12,6,0,0.4242,0.77,1
1,13,6,0,0.4545,0.72,1
1,14,6,0,0.4545,0.72,1
1,15,6,0,0.4394,0.77,1
1,16,6,0,0.4242,0.82,1
1,17,6,0,0.4394,0.82,0
1,18,6,0,0.4242,0.88,0
1,19,6,0,0.4242,0.88,0
1,20,6,0,0.4091,0.87,0
1,21,6,0,0.4091,0.87,0
1,22,6,0,0.4091,0.94,0
1,23,6,0,0.4545,0.88,0
1,0,0,0,0.4545,0.88,0
1,1,0,0,0.4394,0.94,0
1,2,0,0,0.4242,1.0,0
1,3,0,0,0.4545,0.94,0
1,4,0,0,0.4545,0.94,0
1,6,0,0,0.4242,0.77,0
1,7,0,0,0.4091,0.76,0
1,8,0,0,0.4091,0.71,0
1,9,0,0,0.3939,0.76,0
1,10,0,0,0.3485,0.81,1
1,11,0,0,0.3333,0.71,1
1,12,0,0,0.3333,0.66,1
1,13,0,0,0.3485,0.66,1
1,14,0,0,0.3485,0.76,1
1,15,0,0,0.3333,0.81,1
1,16,0,0,0.3333,0.71,1
1,17,0,0,0.3333,0.57,0
1,18,0,0,0.3333,0.46,0
1,19,0,0,0.2879,0.42,0
1,20,0,0,0.2727,0.39,0
1,21,0,0,0.2273,0.44,0
1,22,0,0,0.2121,0.44,0
1,23,0,0,0.2273,0.47,0
1,0,1,1,0.197,0.44,0
1,1,1,1,0.1667,0.44,0
1,4,1,1,0.1364,0.47,0
1,5,1,1,0.1364,0.47,0
1,6,1,1,0.1061,0.5,0
1,7,1,1,0.1364,0.5,0
1,8,1,1,0.1212,0.5,0
1,9,1,1,0.1364,0.43,0
1,10,1,1,0.1667,0.43,0
1,11,1,1,0.1818,0.4,0
1,12,1,1,0.2121,0.35,0
1,13,1,1,0.2121,0.35,0
1,14,1,1,0.2424,0.3,0
1,15,1,1,0.2424,0.3,0
1,16,1,1,0.2424,0.3,0
1,17,1,1,0.2273,0.3,0
1,18,1,1,0.2576,0.32,0
1,19,1,1,0.2576,0.47,0
1,20,1,1,0.2273,0.47,0
1,21,1,1,0.197,0.64,0
1,22,1,1,0.1515,0.69,0
1,23,1,1,0.2121,0.55,0
1,0,2,1,0.1818,0.55,0
1,1,2,1,0.1818,0.59,0
1,2,2,1,0.1515,0.63,0
1,4,2,1,0.1818,0.63,0
1,5,2,1,0.1515,0.68,0
1,6,2,1,0.1515,0.74,0
1,7,2,1,0.1515,0.74,0
1,8,2,1,0.1515,0.69,0
1,9,2,1,0.1515,0.64,0
1,10,2,1,0.1364,0.69,0
1,11,2,1,0.2121,0.51,0
1,12,2,1,0.2273,0.51,0
1,13,2,1,0.2273,0.56,0
1,14,2,1,0.2576,0.52,0
1,15,2,1,0.2727,0.52,0
1,16,2,1,0.2879,0.49,0
1,17,2,1,0.2727,0.48,0
